Id interne de valorisation;Date;Type;Famille de produit;Code produit;Produit;Param1;Param2;Param3;Description;Prénom utilisateur;Nom utilisateur;Quantité;Prix d'achat;Client/revendeur direct (niv. 1);Réf. client/revendeur direct (niv. 1);Prix d'achat niv. 1 (Prix de revente);Nom client Niveau 2;Ref client Niveau 2;Prix client Niveau 2
17372526935;2025-06-01 00:00:00;Abonnement;Liens d'accès FR;03-1220-01-M;FTTH SFR 200 Mb / 50 Mb - Zone ZMD;LAAG1M10;ACCUEIL FRATERNEL ROUBAISIEN;2021-07-05 00:00:00;;;;1,00;39,00;ACCUEIL FRATERNEL ROUBAISIEN;411AFRSIEGE;0,00;AFR - HU FEMMES TOURCOING GAMBETTA;411AFRGAMBETTA;0,00
17372529406;2025-06-01 00:00:00;Abonnement;Liens d'accès FR;03-1035-01-M;FTTH Orange 1 Gb;VIA000000028512;FERRANTELLI;2022-01-03 00:00:00;;;;1,00;49,00;FERRANTELLI;411FERRANTELLI;0,00;;;
17372530591;2025-06-01 00:00:00;Abonnement;Liens d'accès FR;03-204-01-M;FTTH 1 Gb/s Kosc - Z1;S210715_88524;ACCUEIL FRATERNEL ROUBAISIEN;2021-07-15 12:22:04;;;;1,00;39,00;ACCUEIL FRATERNEL ROUBAISIEN;411AFRSIEGE;0,00;AFR - AFR FEMMES GRANDE RUE;411AFRGDERUE;0,00
17372536920;2025-06-01 00:00:00;Abonnement;Liens d'accès FR;03-1220-01-M;FTTH SFR 200 Mb / 50 Mb - Zone ZMD;LAAG1M39;ACCUEIL FRATERNEL ROUBAISIEN;2021-07-22 00:00:00;;;;1,00;39,00;ACCUEIL FRATERNEL ROUBAISIEN;411AFRSIEGE;0,00;AFR - ARMENTIERES GARE;411AFRGARE;0,00
17372575597;2025-06-01 00:00:00;Abonnement;Liens d'accès FR;03-255-01-M;SDSL EFM 8 Mbps - Dégroupé- 2 paires (36 mois);0320557423;OFFICE DE TOURISME;2022-06-17 00:00:00;;;;1,00;173,00;OFFICE DE TOURISME DE LA METROPOLE EUROPEENNE DE LILLE;411OFFICETOURLI;0,00;;;
17372601289;2025-06-01 00:00:00;Abonnement;Liens d'accès FR;03-1043-01-M;FTTH Bouygues 1 Gbps;0844075371;CLS;2023-03-30 00:00:00;2023-03-31 00:00:00;;;1,00;39,00;CLS;411CLS;0,00;;;
17372629201;2025-06-01 00:00:00;Abonnement;Liens d'accès FR;03-209-01-M;FTTH Kosc 1Gb / 800 Mb - Zone A;S230918_70822;SILLIKER;2023-09-18 12:46:04;;;;1,00;39,00;SILLIKER - MERIEUX NUTRISCIENCES;411MERIEUX;0,00;;;
17372638714;2025-06-01 00:00:00;Abonnement;Liens d'accès FR;03-209-01-M;FTTH Kosc 1Gb / 800 Mb - Zone A;S230619_31254;P2L Ingenierie;2023-06-19 16:05:36;;;;1,00;39,00;P2l - Metod;411P2lmetod;0,00;P2L Ingenierie;411P2LING;0,00
17372640937;2025-06-01 00:00:00;Abonnement;Liens d'accès FR;03-1043-01-M;FTTH Bouygues 1 Gbps;0844097970;FLORENT HURET;2023-11-08 12:36:59;;;;1,00;39,00;FLORENT HURET;411DELEUWANBRE;0,00;;;
17372643673;2025-06-01 00:00:00;Abonnement;Liens d'accès FR;03-2047-01-M;FTTH Orange 1 Gbps / 800 Mbps;VIA000000068035;ADM POLE DE VAL MAUBUEE;2023-10-26 00:00:00;;;;1,00;42,00;ADM POLE DE VAL MAUBUEE;411ADMMAUBUEE;0,00;;;
