Id interne de valorisation;Date;Type;Famille de produit;Code produit;Produit;Param1;Param2;Param3;Description;Prénom utilisateur;Nom utilisateur;Quantité;Prix d'achat;Client/revendeur direct (niv. 1);Réf. client/revendeur direct (niv. 1);Prix d'achat niv. 1 (Prix de revente);Nom client Niveau 2;Ref client Niveau 2;Prix client Niveau 2
17371596996;2025-06-01 00:00:00;Abonnement;Matériel en location;02-351-01-Z;Routeur FTTH (36 mois) - FR;20240408169194;2024-04-08 16:44:10;HG409MVCKGC - MikroTik;;;;1,00;3,00;;;;;;
17371597081;2025-06-01 00:00:00;Abonnement;Matériel en location;02-302-01-Z;Routeur Ethernet (fibre - débit inférieur ou égal à 1 Gb) (36 mois);20240408169194;2024-04-08 00:00:00;HFB095YTE5P - MikroTik;;;;1,00;10,00;;;;;;
17371597181;2025-06-01 00:00:00;Abonnement;Matériel en location;02-310-01-Z;Routeur 4G - Lite (36 mois);20240408169194;2024-04-08 16:44:10;HCS0814MJXJ - MikroTik;;;;1,00;4,00;;;;;;
17371597261;2025-06-01 00:00:00;Abonnement;Matériel en location;02-310-01-Z;Routeur 4G - Lite (36 mois);20240408169194;2024-04-08 16:44:10;HCS084SH9VJ - MikroTik;;;;1,00;4,00;;;;;;
17371597986;2025-06-01 00:00:00;Abonnement;Matériel en location;02-351-01-Z;Routeur FTTH (36 mois) - FR;20240408169194;2024-04-08 16:44:10;HG409S4N9D0 - MikroTik;;;;1,00;3,00;;;;;;
17371604595;2025-06-01 00:00:00;Abonnement;Matériel en location;02-351-01-Z;Routeur FTTH (36 mois) - FR;20240627172784;2024-06-27 16:26:18;HG809WKAGYB - MikroTik;;;;1,00;3,00;;;;;;
17371604630;2025-06-01 00:00:00;Abonnement;Matériel en location;02-351-01-Z;Routeur FTTH (36 mois) - FR;20240627172784;2024-06-27 16:26:18;HG809VM9E80 - MikroTik;;;;1,00;3,00;;;;;;
17371604656;2025-06-01 00:00:00;Abonnement;Matériel en location;02-302-01-Z;Routeur Ethernet (fibre - débit inférieur ou égal à 1 Gb) (36 mois);20240627172784;2024-07-01 00:00:00;HGD09S3R5PM - MikroTik;;;;1,00;10,00;;;;;;
17371604688;2025-06-01 00:00:00;Abonnement;Matériel en location;02-353-01-Z;Router Ethernet (fibre - débit inférieur ou égal à 200Mb) (36 mois);20240627172784;2024-06-27 16:26:18;HG809GGEX0K - MikroTik;;;;1,00;3,00;;;;;;
17371606045;2025-06-01 00:00:00;Abonnement;Matériel en location;02-351-01-Z;Routeur FTTH (36 mois) - FR;20240627172784;2024-06-27 16:26:18;HG809XFQ7XZ - MikroTik;;;;1,00;3,00;;;;;;
17371606091;2025-06-01 00:00:00;Abonnement;Matériel en location;02-351-01-Z;Routeur FTTH (36 mois) - FR;20240627172784;2024-06-27 16:26:18;HG809TQ5QR7 - MikroTik;;;;1,00;3,00;;;;;;
17371606118;2025-06-01 00:00:00;Abonnement;Matériel en location;02-351-01-Z;Routeur FTTH (36 mois) - FR;20240627172784;2024-06-27 16:26:18;HG809VBR0VK - MikroTik;;;;1,00;3,00;;;;;;
17371615758;2025-06-01 00:00:00;Abonnement;Matériel en location;02-351-01-Z;Routeur FTTH (36 mois) - FR;20241018177158;2024-10-21 10:39:36;HGA09JAA05N - MikroTik;;;;1,00;3,00;;;;;;
17371615855;2025-06-01 00:00:00;Abonnement;Matériel en location;02-351-01-Z;Routeur FTTH (36 mois) - FR;20241018177158;2024-10-21 10:39:36;HGA09M7HVGB - MikroTik;;;;1,00;3,00;;;;;;
17371615952;2025-06-01 00:00:00;Abonnement;Matériel en location;02-353-01-Z;Router Ethernet (fibre - débit inférieur ou égal à 200Mb) (36 mois);20241018177158;2024-10-21 10:39:36;HGA09GVSVTH - MikroTik;;;;1,00;3,00;;;;;;
